Issue Type,Summary,Description,Priority,Status,Component,Epic Link,Sprint,Story Points,Assignee,Reporter,Labels,Original Estimate,Start Date,Due Date,Parent
Epic,Preparación e Infraestructura,Configuración inicial del proyecto para deployment,High,To Do,Infrastructure,,Sprint 1,,,Dev Team,"vercel,config,setup",,,2026-03-08,
Story,Crear vercel.json,Archivo de configuración para deployment en Vercel con rutas y builds,High,To Do,Infrastructure,Preparación e Infraestructura,Sprint 1,2,,Dev Team,"vercel,config,deployment",1h,2026-03-04,2026-03-04,
Story,Crear package.json,Archivo package.json con scripts de build dev y deploy,High,To Do,Infrastructure,Preparación e Infraestructura,Sprint 1,1,,Dev Team,"node,config,deployment",1h,2026-03-04,2026-03-04,
Story,Configurar variables de entorno,Documentar y configurar .env para producción y staging,High,To Do,Infrastructure,Preparación e Infraestructura,Sprint 1,2,,Dev Team,"config,firebase,security",1h,2026-03-04,2026-03-05,
Task,Testing pre-deployment,Verificar build local rutas y assets antes de desplegar,Medium,To Do,Infrastructure,Preparación e Infraestructura,Sprint 1,3,,QA Team,"testing,vercel,qa",1h,2026-03-08,2026-03-08,
Epic,Firebase y Base de Datos,Configuración de Firebase y estructura de datos,High,To Do,Backend,,Sprint 1,,,Dev Team,"firebase,backend,database",,,2026-03-12,
Story,Revisar colección registros,Analizar y documentar estructura actual de la colección,High,To Do,Backend,Firebase y Base de Datos,Sprint 1,3,,Dev Team,"firebase,database,docs",2h,2026-03-05,2026-03-05,
Story,Crear colección configuracion,Nueva colección en Firestore para estilos personalizables,High,To Do,Backend,Firebase y Base de Datos,Sprint 1,5,,Dev Team,"firebase,database,feature",1h,2026-03-05,2026-03-06,
Story,Configurar Firebase Storage,Crear carpeta configuracion/ con reglas de acceso,High,To Do,Backend,Firebase y Base de Datos,Sprint 1,5,,Dev Team,"firebase,storage,infrastructure",1h,2026-03-06,2026-03-07,
Story,Actualizar firestore.rules,Reglas de seguridad para nueva colección configuración,High,To Do,Backend,Firebase y Base de Datos,Sprint 1,5,,Dev Team,"firebase,security,backend",1h,2026-03-07,2026-03-08,
Story,Configurar storage.rules,Reglas de seguridad para upload de imágenes validando formato,High,To Do,Backend,Firebase y Base de Datos,Sprint 1,5,,Dev Team,"firebase,security,backend",1h,2026-03-07,2026-03-08,
Task,Documentar estructura Firebase,Crear FIREBASE_DATABASE.md con schema consultas y ejemplos,Medium,To Do,Documentation,Firebase y Base de Datos,Sprint 2,3,,Tech Writer,"docs,firebase,database",2h,2026-03-09,2026-03-10,
Epic,Panel de Administración,Nuevo panel con personalización avanzada y estadísticas,High,To Do,Frontend,,Sprint 2,,,Dev Team,"frontend,admin,feature",,,2026-03-18,
Story,Diseñar sistema de tabs,Tabs: Registros Personalización Estadísticas con navegación,High,To Do,Frontend,Panel de Administración,Sprint 2,5,,Frontend Dev,"frontend,ui,design",2h,2026-03-11,2026-03-11,
